schuljahr;abschlussart;geschlecht;anzahl;anzahl_numerisch
2022/23;mit allgemeiner Hochschulreife;Insgesamt;-;0
2023/24;mit allgemeiner Hochschulreife;Insgesamt;-;0
2024/25;mit allgemeiner Hochschulreife;Insgesamt;-;0
1994/95;Insgesamt;männlich;22156;22156
1995/96;Insgesamt;männlich;22348;22348
1996/97;Insgesamt;männlich;22040;22040
1997/98;Insgesamt;männlich;20635;20635
1998/99;Insgesamt;männlich;20431;20431
1999/00;Insgesamt;männlich;20981;20981
2000/01;Insgesamt;männlich;21094;21094
2001/02;Insgesamt;männlich;20947;20947
2002/03;Insgesamt;männlich;20063;20063
2003/04;Insgesamt;männlich;19248;19248
2004/05;Insgesamt;männlich;18402;18402
2005/06;Insgesamt;männlich;16690;16690
2006/07;Insgesamt;männlich;13660;13660
2007/08;Insgesamt;männlich;9740;9740
2008/09;Insgesamt;männlich;7945;7945
2009/10;Insgesamt;männlich;7272;7272
2010/11;Insgesamt;männlich;6854;6854
2011/12;Insgesamt;männlich;7061;7061
2012/13;Insgesamt;männlich;7846;7846
2013/14;Insgesamt;männlich;8683;8683
2014/15;Insgesamt;männlich;8357;8357
2015/16;Insgesamt;männlich;9067;9067
2016/17;Insgesamt;männlich;9592;9592
2017/18;Insgesamt;männlich;9194;9194
2018/19;Insgesamt;männlich;9511;9511
2019/20;Insgesamt;männlich;9603;9603
2020/21;Insgesamt;männlich;9809;9809
2021/22;Insgesamt;männlich;9955;9955
2022/23;Insgesamt;männlich;10006;10006
2023/24;Insgesamt;männlich;10794;10794
