schuljahr,abschlussart,geschlecht,schulart,anzahl
1999/00,ohne Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
1999/00,ohne Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,x
1999/00,ohne Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2000/01,ohne Hauptschulabschluss,weiblich,Grundschulen,-
2000/01,ohne Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,1151
2000/01,ohne Hauptschulabschluss,weiblich,Gymnasien,34
2000/01,ohne Hauptschulabschluss,weiblich,Förderschulen,1132
2000/01,ohne Hauptschulabschluss,weiblich,Freie Waldorfschulen,2
2000/01,ohne Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
2000/01,ohne Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
2000/01,ohne Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,x
2000/01,ohne Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2001/02,ohne Hauptschulabschluss,weiblich,Grundschulen,-
2001/02,ohne Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,841
2001/02,ohne Hauptschulabschluss,weiblich,Gymnasien,78
2001/02,ohne Hauptschulabschluss,weiblich,Förderschulen,1042
2001/02,ohne Hauptschulabschluss,weiblich,Freie Waldorfschulen,1
2001/02,ohne Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
2001/02,ohne Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
2001/02,ohne Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,x
2001/02,ohne Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2002/03,ohne Hauptschulabschluss,weiblich,Grundschulen,-
2002/03,ohne Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,860
2002/03,ohne Hauptschulabschluss,weiblich,Gymnasien,15
2002/03,ohne Hauptschulabschluss,weiblich,Förderschulen,1024
2002/03,ohne Hauptschulabschluss,weiblich,Freie Waldorfschulen,2
