"id","name","institution_key","abbreviation","owner_id","owner_abbreviation","owner_name","owner_type"
"2092","Oberschule am Pfortenberg Dippoldiswalde","4330627","oaos-dippoldiswalde-dippol","210","","Stadt Dippoldiswalde","15"
"1974","Oberschule am Steegenwald","4230975","oaos-lugau","268","","Stadt Lugau/Erzgeb.","13"
"2157","Oberschule an der Elsteraue Kamenz","4130738","oaos-kamenz-002","833","","Landkreis Bautzen","16"
"2203","Oberschule an der Weinau Zittau","4131215","oaos-zittau-weinau","318","","Stadt Zittau","15"
"4131","Oberschule Arnsdorf","4131405","oaos-arnsdorf","833","","Landkreis Bautzen","16"
"1961","Oberschule Aue-Zelle","4231643","oaos-aue.schl","174","ASC","Stadt Aue-Bad Schlema","15"
"1963","Oberschule Auerbach","4230892","oaos-auerbach","278","","Gemeinde Auerbach","12"
"682","Oberschule Bad Düben","4430336","oaos-dueben","764","","Stadt Bad Düben","13"
"5","Oberschule Bad Gottleuba","4330882","oaos-gottleuba","320","","Stadt Bad Gottleuba-Berggießhübel","13"
"2302","Oberschule Beilrode","4430344","oaos-beilrode","246","","Gemeinde Beilrode","12"
"3182","Oberschule Bergstadt Schneeberg","4231767","oaos-schneeberg","150","","Stadt Schneeberg","13"
"1864","Oberschule Bergstadtschule Sayda","4230256","oaos-sayda","669","","Stadt Sayda","13"
"2184","Oberschule Bernstadt ""Klaus Riedel""","4130944","oaos-bernstadt","369","","Stadt Bernstadt a. d. Eigen","13"
"165","Oberschule Bischofswerda","4130563","oaos-bischofswerda","835","","Stadt Bischofswerda","15"
"2268","Oberschule Böhlen bei Borna","4430039","oaos-boehlen","666","","Stadt Böhlen","13"
"1849","Oberschule Brand-Erbisdorf","4230033","oaos-brand.e","706","","Stadt Brand-Erbisdorf","15"
"2334","Oberschule Brandis","4430617","oaos-brandis","480","","Stadt Brandis","13"
"1038","Oberschule Claußnitz","4230660","oaos-claussnitz","523","","Gemeinde Claußnitz","12"
"203","Oberschule Cossebaude","4330619","oaos-dresden-cosseb","874","","Stadt Dresden","14"
"1317","Oberschule des Friedens","4231189","oaos-ehrenfrieders.d","860","","Stadt Ehrenfriedersdorf","13"
"2210","Oberschule Dohna","4330908","oaos-dohna","311","","Stadt Dohna","13"
"3278","Oberschule Dresden-Pieschen","4331583","oaos-dresden-piesch","874","","Stadt Dresden","14"
"2235","Oberschule Ebersbach","4331161","oaos-ebersbach","410","","Gemeinde Ebersbach","12"
"2150","Oberschule Elstra","4130639","oaos-elstra","133","","Stadt Elstra","13"
"1073","Oberschule Flöha-Plaue","4231213","oaos-floeha","697","","Stadt Flöha","15"
"1447","Oberschule Gablenz","4230280","oaos-chemnitz-gabl","873","","Stadt Chemnitz","14"
"2098","Oberschule Geising","4330692","oaos-altenberg","216","","Stadt Altenberg","13"
"133","Oberschule Gesundbrunnen","4130530","oaos-bautzen-gesund","834","","Stadt Bautzen","15"
"4274","Oberschule Göltzschtal (Schule in freier Trägerschaft)","4531240","faos-ellefeld-OVVIM","6015","OVVIM","Hoffnungswerk Vogtland e. V.","21"
"2344","Oberschule Grimma","4430724","oaos-grimma-grim","471","","Stadt Grimma","15"
"2277","Oberschule Groitzsch","4430120","oaos-groitzsch","641","","Stadt Groitzsch","13"
"1964","Oberschule Grünhain-Beierfeld","4231668","oaos-gruenhain","175","","Stadt Grünhain-Beierfeld","13"
"1856","Oberschule Halsbrücke","4230116","oaos-halsbruecke","688","","Gemeinde Halsbrücke","12"
"4035","Oberschule Hoyerswerda","4131397","oaos-hoyerswerda","14","","Stadt Hoyerswerda","15"
"3314","Oberschule im Evangelischen Schulzentrum Muldental (Schule in freier Trägerschaft)","4431474","faos-grimma-ESZM","1370","ESZM","Evangelisches Schulzentrum Muldental e.V.","21"
"2341","Oberschule im Lossatal","4430708","oaos-lossatal","6109","","Gemeinde Lossatal","12"
"447","Oberschule Innenstadt Görlitz","4130118","oasz-goerlitz","367","","Stadt Görlitz","15"
"2004","Oberschule Jöhstadt, Eliteschule des Sports","4231262","oaos-joehstadt","857","","Stadt Jöhstadt","13"
"2280","Oberschule Kitzscher","4430153","oaos-kitzscher","637","","Stadt Kitzscher","13"
"2214","Oberschule Königstein","4330973","oaos-koenigstein","302","","Stadt Königstein/Sächs. Schw.","13"
"2233","Oberschule Kötitz","4331138","oaos-coswig-koetit","596","","Stadt Coswig","15"
"2106","Oberschule Kötzschenbroda","4330775","oaos-radebeul-koetzs","28","","Stadt Radebeul","15"
"2101","Oberschule Kreischa","4330734","oaos-kreischa","189","","Gemeinde Kreischa","12"
"101","Oberschule Lauta","4130415","oaos-lauta","833","","Landkreis Bautzen","16"
"1859","Oberschule Lengefeld","4230140","oaos-pockau","6127","","Stadt Pockau-Lengefeld","13"
"2028","Oberschule Leubnitz","4530705","oaos-werdau-leubn","52","","Stadt Werdau","15"
"1035","Oberschule Lichtenau","4230629","oaos-lichtenau","532","","Gemeinde Lichtenau","12"
"1347","Oberschule Lichtentanne","4530713","oaos-lichtentanne","80","","Gemeinde Lichtentanne","12"
"103","Oberschule Lohsa","4130423","oaos-lohsa","833","","Landkreis Bautzen","16"
"2238","Oberschule Lommatzscher Pflege","4331237","oaos-lommatzsch","582","","Stadt Lommatzsch","13"
"987","Oberschule Lößnitz","4231700","oaos-loessnitz","156","","Stadt Lößnitz","13"
"153","Oberschule Malschwitz","4130779","oaos-malschwitz","833","","Landkreis Bautzen","16"
"744","Oberschule Markkleeberg","4430187","oaos-markkleeberg","626","","Stadt Markkleeberg","15"
"2283","Oberschule Markranstädt","4430203","oaos-markranstaedt","620","","Stadt Markranstädt","13"
"2401","Oberschule Mockrehna","4430500","oaos-mockrehna","237","","Gemeinde Mockrehna","12"
"723","Oberschule Naunhof","4430823","oaos-naunhof","466","","Stadt Naunhof","13"
"1061","Oberschule Neukirchen","4230827","oaos-neukirchen.e","258","","Gemeinde Neukirchen/Erzgeb.","12"
"1906","Oberschule Neumark","4530127","oaos-neumark","885","","Gemeinde Neumark","12"
"1862","Oberschule Niederbobritzsch","4230199","oaos-bobritzsch","705","","Gemeinde Bobritzsch-Hilbersdorf","12"
"2007","Oberschule Niederwiesa","4231296","oaos-niederwiesa","675","","Gemeinde Niederwiesa","12"
"393","Oberschule Niesky","4130225","oaos-niesky","426","","Stadt Niesky","15"
"2319","Oberschule Nordwest Torgau","4430542","oaos-torgau-nordwe","221","","Stadt Torgau","15"
"43","Oberschule Nünchritz","4331310","oaos-nuenchritz","391","","Gemeinde Nünchritz","12"
"1083","Oberschule Oederan","4231304","oaos-oederan","677","","Stadt Oederan","13"
"2997","Oberschule Oelsnitz","4530945","oaos-oelsnitz.v","922","","Stadt Oelsnitz/Vogtl.","15"
"1202","Oberschule Olbernhau","4230215","oaos-olbernhau","549","","Stadt Olbernhau","13"
"2104","Oberschule Ottendorf-Okrilla „Heiderand“","4130043","oaos-ottendorf","833","","Landkreis Bautzen","16"
"1924","Oberschule Pausa","4530283","oaos-pausa","894","","Stadt Pausa-Mühltroff","13"
"2107","Oberschule Radebeul Mitte","4330767","oaos-radebeul-mitte","28","","Stadt Radebeul","15"
"232","Oberschule Radeburg ""Heinrich Zille""","4330809","oaos-radeburg","29","","Stadt Radeburg","13"
"455","Oberschule Rauschwalde Görlitz","4130100","oaos-goerlitz-rausch","367","","Stadt Görlitz","15"
"1863","Oberschule Rechenberg-Bienenmühle","4230231","oaos-rechenberg","678","","Gemeinde Rechenberg-Bienenmühle","12"
"2289","Oberschule Regis-Breitingen","4430252","oaos-regis.b","6132","","Stadt Regis-Breitingen","13"
"274","Oberschule Reichenbach","4130241","oaos-reichenbach","429","","Stadt Reichenbach/O.L.","13"
"1878","Oberschule Reichenbrand","4230496","oaos-chemnitz-reiche","873","","Stadt Chemnitz","14"
"2145","Oberschule Rödertal","4130589","oaos-g.roehrsdorf","833","","Landkreis Bautzen","16"
"2108","Oberschule Schmiedeberg","4330833","oaos-dippoldiswalde-schmie","210","","Stadt Dippoldiswalde","15"
"1879","Oberschule Schönau/Siegmar","4230546","oaos-chemnitz-schoen","873","","Stadt Chemnitz","14"
"2248","Oberschule Schönfeld","4331401","oaos-schoenfeld","381","","Gemeinde Schönfeld","12"
"2002","Oberschule Sehmatal","4231155","oaos-sehmatal","1235","","Gemeinde Sehmatal","12"
"429","Oberschule Seifhennersdorf","4131165","oaos-seifhenners.d","324","","Stadt Seifhennersdorf","13"
"62","Oberschule Strehla","4331427","oaos-strehla","378","","Stadt Strehla","13"
"2293","Oberschule Taucha","4430302","oaos-taucha","602","","Stadt Taucha","13"
"1986","Oberschule Thalheim","4231056","oaos-thalheim","252","","Stadt Thalheim/Erzgeb.","13"
"2355","Oberschule Trebsen","4430906","oaos-trebsen","462","","Stadt Trebsen/Mulde","13"
"677","Oberschule Waldheim","4231635","oaos-waldheim","712","","Stadt Waldheim","13"
"2253","Oberschule Weinböhla","4331450","oaos-weinboehla","578","","Gemeinde Weinböhla","12"
"1930","Oberschule Weischlitz","4530390","oaos-weischlitz","897","","Gemeinde Weischlitz","12"
"2110","Oberschule Weißig","4330866","oaos-dresden-weiss","874","","Stadt Dresden","14"
"2111","Oberschule Weixdorf","4331500","oaos-dresden-weixd","874","","Stadt Dresden","14"
