"id","name","owner_id","owner_abbreviation","owner_name","owner_type"
"723","Oberschule Naunhof","466","","Stadt Naunhof","13"
"1061","Oberschule Neukirchen","258","","Gemeinde Neukirchen/Erzgeb.","12"
"1906","Oberschule Neumark","885","","Gemeinde Neumark","12"
"1862","Oberschule Niederbobritzsch","705","","Gemeinde Bobritzsch-Hilbersdorf","12"
"2007","Oberschule Niederwiesa","675","","Gemeinde Niederwiesa","12"
"393","Oberschule Niesky","426","","Stadt Niesky","15"
"2319","Oberschule Nordwest Torgau","221","","Stadt Torgau","15"
"43","Oberschule Nünchritz","391","","Gemeinde Nünchritz","12"
"1083","Oberschule Oederan","677","","Stadt Oederan","13"
"2997","Oberschule Oelsnitz","922","","Stadt Oelsnitz/Vogtl.","15"
"1202","Oberschule Olbernhau","549","","Stadt Olbernhau","13"
"2104","Oberschule Ottendorf-Okrilla „Heiderand“","833","","Landkreis Bautzen","16"
"1924","Oberschule Pausa","894","","Stadt Pausa-Mühltroff","13"
"2107","Oberschule Radebeul Mitte","28","","Stadt Radebeul","15"
"232","Oberschule Radeburg ""Heinrich Zille""","29","","Stadt Radeburg","13"
"455","Oberschule Rauschwalde Görlitz","367","","Stadt Görlitz","15"
"1863","Oberschule Rechenberg-Bienenmühle","678","","Gemeinde Rechenberg-Bienenmühle","12"
"2289","Oberschule Regis-Breitingen","6132","","Stadt Regis-Breitingen","13"
"274","Oberschule Reichenbach","429","","Stadt Reichenbach/O.L.","13"
"1878","Oberschule Reichenbrand","873","","Stadt Chemnitz","14"
"2145","Oberschule Rödertal","833","","Landkreis Bautzen","16"
"2108","Oberschule Schmiedeberg","210","","Stadt Dippoldiswalde","15"
"1879","Oberschule Schönau/Siegmar","873","","Stadt Chemnitz","14"
"2248","Oberschule Schönfeld","381","","Gemeinde Schönfeld","12"
"2002","Oberschule Sehmatal","1235","","Gemeinde Sehmatal","12"
